City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Hun,LY,69.12,overcast clouds,29.13,15.95,Alrwasi Hotel
532,Najran,SA,70.45,scattered clouds,17.49,44.13,محمد هادي ال فطيح
533,Lazaro Cardenas,MX,80.35,clear sky,17.96,-102.2,quinta antigua
534,Mwinilunga,ZM,65.25,broken clouds,-11.74,24.43,Kwakuwahi Lodge
535,Charters Towers,AU,88.99,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
536,Itaueira,BR,83.25,broken clouds,-7.6,-43.03,Hotel Pousada Luz
537,Srandakan,ID,80.08,overcast clouds,-7.94,110.25,Puri Brata
542,Adiake,CI,76.37,broken clouds,5.29,-3.3,RESIDENCE JBK
543,Sabha,LY,68.67,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
544,Tecoanapa,MX,81.23,scattered clouds,16.52,-98.75,Hotel Manglares
546,Antalaha,MG,71.83,broken clouds,-14.9,50.28,Hotel Vitasoa
548,Vasudevanallur,IN,75.94,moderate rain,9.23,77.42,Santhanamariyammankovil
549,Puerto Colombia,CO,75.29,overcast clouds,10.99,-74.95,Hotel El Emigrante
553,Ishigaki,JP,78.93,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
555,Mandera,KE,82.17,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
556,Playas,EC,72.63,scattered clouds,-2.63,-80.38,Hostal Promenade
558,Sokoni,TZ,78.49,broken clouds,-6.43,39.55,Ujamaa Beach Resort
559,Anori,BR,79.52,broken clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
561,Agde,FR,63.95,overcast clouds,43.31,3.48,Hôtel La Chaumière
562,Yenagoa,NG,76.32,overcast clouds,4.92,6.26,Amba Hotels Limited
563,Teguise,ES,62.82,clear sky,29.06,-13.56,B&B La Casona de Nazaret
565,Xai-Xai,MZ,67.78,light rain,-25.05,33.64,Platinum Hotel
566,Ciudad Bolivar,VE,77.83,broken clouds,8.12,-63.55,Hotel Edi
567,Darnah,LY,67.98,scattered clouds,32.77,22.64,زاوية الرفاعي
568,Labuhan,ID,82.49,overcast clouds,-6.88,112.21,Labuhan
569,Aljezur,PT,68.86,overcast clouds,37.32,-8.8,Amazigh Hostel
571,Ponta Delgada,PT,73.51,broken clouds,37.73,-25.67,Vila Nova Hotel
572,Mareeba,AU,90.32,few clouds,-17.0,145.43,Trinity Plains Tourist Park
573,Kandrian,PG,85.6,light rain,-6.22,149.55,Kandrian Station
577,Janakpur,NP,66.36,clear sky,26.72,85.91,Hotel Sita Palace
580,Belmonte,BR,75.7,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
581,Timbiqui,CO,75.16,light rain,2.77,-77.67,hotel diana
584,Boquira,BR,75.97,scattered clouds,-12.82,-42.73,Restaurante e Pousada Boquira
586,Santiago,CL,76.86,clear sky,-33.46,-70.65,Hotel Vegas
587,Caborca,MX,80.35,clear sky,30.58,-111.1,Hotel Los Lagos
588,Sinnamary,GF,79.03,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
592,Impfondo,CG,72.12,broken clouds,1.64,18.07,Auberge La Place de Jules
594,Huarmey,PE,64.13,broken clouds,-10.07,-78.15,Hotel Miramar
595,Jimenez,MX,76.8,clear sky,28.33,-105.4,El torreon
598,Siparia,TT,79.07,broken clouds,10.13,-61.5,Brook Gardens
599,Esperance,AU,66.51,clear sky,-33.87,121.9,Hospitality Esperance
602,Kombissiri,BF,84.18,few clouds,12.07,-1.34,Mitibkieta Annexe
604,Karwar,IN,77.4,overcast clouds,14.8,74.13,Netalco Connects
